agent,episode,action_id,count,pattern,region,concurrency,access_pattern,block_size,duration_s,memory_mb,copy_threads,cpu_threads,warm_copy,max_errors,stress_score
random,3,430,1,checkerboard,3,high,rowhammer_like,page_4KB,120,4096,16,8,True,1,13.904351999999998
random,3,1788,1,inversion,1,high,sequential,page_4KB,30,4096,16,8,True,-1,4.920069
random,3,1847,1,inversion,3,low,rowhammer_like,page_4KB,300,1024,4,0,True,1,4.568960000000001
random,3,5,1,walking_1_0,0,low,random,page_4KB,60,1024,4,0,True,10,1.7424000000000002
random,3,1803,1,inversion,2,low,sequential,page_4KB,300,1024,4,0,False,-1,2.242
random,3,882,1,march,0,medium,random,page_4KB,120,4096,8,4,True,10,5.049475199999999
random,3,778,1,random,5,medium,rowhammer_like,page_4KB,120,4096,8,4,True,1,6.4399104000000005
random,3,341,1,checkerboard,1,medium,random,page_4KB,60,1024,8,4,True,10,3.5126784000000004
random,3,791,1,random,5,high,rowhammer_like,page_4KB,300,0,16,8,True,1,18.02416
random,3,1271,1,butterfly,3,low,rowhammer_like,page_4KB,300,1024,4,0,True,1,5.033600000000001
random,3,374,1,checkerboard,2,medium,sequential,page_4KB,120,4096,8,4,True,-1,4.171305600000001
random,3,459,1,checkerboard,4,high,sequential,page_4KB,300,0,16,8,True,-1,11.674739999999996
random,3,1364,1,butterfly,5,high,rowhammer_like,page_4KB,30,4096,16,8,True,1,10.042032
random,3,751,1,random,4,high,random,page_4KB,300,0,16,8,True,10,12.289199999999997
random,3,1918,1,inversion,5,low,rowhammer_like,page_4KB,120,1024,4,0,True,1,3.4267200000000004
random,3,379,1,checkerboard,2,medium,random,page_4KB,300,4096,8,4,True,10,7.025356800000001
random,3,1483,1,solid,1,low,random,page_4KB,300,1024,4,0,True,10,2.7720000000000002
random,3,1186,1,butterfly,0,high,rowhammer_like,page_4KB,120,4096,16,8,True,1,15.063048000000004
random,3,842,1,random,7,medium,sequential,page_4KB,120,4096,8,4,True,-1,3.4760880000000003
random,3,149,1,walking_1_0,4,low,random,page_4KB,60,1024,4,0,True,10,1.7424000000000002
random,3,1801,1,inversion,2,low,sequential,page_4KB,60,1024,4,0,False,-1,1.3452
random,3,288,1,checkerboard,0,low,sequential,page_4KB,30,256,4,0,False,-1,0.969
random,3,103,1,walking_1_0,2,high,random,page_4KB,300,0,16,8,True,10,13.518119999999996
random,3,1481,1,solid,1,low,random,page_4KB,60,1024,4,0,True,10,1.6632000000000002
random,3,1959,1,inversion,6,medium,sequential,page_4KB,300,4096,8,4,True,-1,5.46904512
random,3,1341,1,butterfly,5,low,rowhammer_like,page_4KB,60,1024,4,0,True,1,3.02016
random,3,1472,1,solid,0,high,rowhammer_like,page_4KB,30,4096,16,8,True,1,8.110872
random,3,487,1,checkerboard,5,medium,random,page_4KB,300,4096,8,4,True,10,7.025356800000001
random,3,915,1,march,1,medium,sequential,page_4KB,300,4096,8,4,True,-1,5.330001599999999
random,3,1018,1,march,4,low,rowhammer_like,page_4KB,120,1024,4,0,True,1,3.3396000000000003
random,3,885,1,march,0,medium,rowhammer_like,page_4KB,60,1024,8,4,True,1,4.937264640000001
random,3,1945,1,inversion,6,low,sequential,page_4KB,60,1024,4,0,False,-1,1.3452
random,3,297,1,checkerboard,0,low,rowhammer_like,page_4KB,60,1024,4,0,True,1,2.7878400000000005
random,3,1566,1,solid,3,medium,random,page_4KB,120,4096,8,4,True,10,4.6103904
random,3,1964,1,inversion,6,medium,rowhammer_like,page_4KB,30,1024,8,4,True,1,4.221719040000001
random,3,529,1,checkerboard,6,high,sequential,page_4KB,60,4096,16,8,True,-1,6.004151999999999
random,3,1178,1,butterfly,0,high,sequential,page_4KB,120,4096,16,8,True,-1,8.1306225
random,3,453,1,checkerboard,4,medium,rowhammer_like,page_4KB,60,1024,8,4,True,1,5.151928320000001
random,3,191,1,walking_1_0,5,low,rowhammer_like,page_4KB,300,1024,4,0,True,1,4.259200000000001
random,3,577,1,random,0,low,sequential,page_4KB,60,1024,4,0,False,-1,1.14
random,3,873,1,march,0,low,rowhammer_like,page_4KB,60,1024,4,0,True,1,2.67168
random,3,979,1,march,3,low,random,page_4KB,300,1024,4,0,True,10,3.036
random,3,1273,1,butterfly,3,medium,sequential,page_4KB,60,1024,8,4,True,-1,3.0126095999999998
random,3,113,1,walking_1_0,3,low,random,page_4KB,60,1024,4,0,True,10,1.7424000000000002
random,3,146,1,walking_1_0,4,low,sequential,page_4KB,120,1024,4,0,False,-1,1.5675000000000001
random,3,1400,1,butterfly,6,high,rowhammer_like,page_4KB,30,4096,16,8,True,1,10.042032
random,3,1515,1,solid,2,low,sequential,page_4KB,300,1024,4,0,False,-1,1.9949999999999999
random,3,1606,1,solid,4,medium,rowhammer_like,page_4KB,120,4096,8,4,True,1,6.76190592
random,3,1751,1,inversion,0,medium,rowhammer_like,page_4KB,300,4096,8,4,True,1,10.132125696000001
random,3,1409,1,butterfly,7,low,random,page_4KB,60,1024,4,0,True,10,2.0592
